episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description
72,4,1,"""The Quietly Approaching Threat""Transcription: ""Shinobiyoru kyōi"" (Japanese: 忍び寄る脅威)",Hiroshi Kimura,Masahiro Hikokubo,2008-08-21,2011-03-16,7.3,347,"Work continues in Hidden Leaf Village to erase the scars of battle. As he watches Konohamaru and the others helping with the reconstruction, Iruka sees how his students have matured."
73,4,2,"""Akatsuki's Invasion""Transcription: ""Akatsuki shinkō"" (Japanese: “暁”侵攻)",Masaki Takuno,Masahiro Hikokubo,2008-08-28,2011-03-23,7.7,371,"With Kakashi's return, Naruto resumes training for his new jutsu. Kakashi explains that the transformation training will enter the next stage. This time, only Wind Chakra will be used to cut through a waterfall. Hidan and Kakuzu, who have captured Two Tails, leave it with Zetsu and head for the Land of Fire in search of Nine Tails. The first place they reach is the Fire Temple, where the priests go into a near panic, and Chiriku confronts the Akatsuki."
74,4,3,"""Under the Starry Sky""Transcription: ""Hoshizora no moto de"" (Japanese: 星空の下（もと）で)",Eitaro Ano,Masahiro Hikokubo,2008-09-04,2011-03-30,7.5,351,The lone surviving priest is carried into Hidden Leaf Village where he reports the destruction of the Fire Temple.
75,4,4,"""The Old Monk's Prayer""Transcription: ""Rōsō no inori"" (Japanese: 老僧の祈り)",Masaaki Kumagai,Yasuyuki Suzuki,2008-09-11,2011-04-06,7.4,344,"In order to capture the Akatsuki, the Hidden Leaf cast a net that even an ant could not crawl through. Still, the Akatsuki elude them and frustrate Tsunade to no end. Around that time, Asuma and the others arrive at the Fire Temple, only to find it completely destroyed. Chiriku's corpse is missing, and Asuma surmises that the Akatsuki were after the bounty on Chiriku's head. They immediately dispatch a messenger to Hidden Leaf to submit a report and head for the nearest center where the Akatsuki can turn in Chiriku's body for payment. Back at Hidden Leaf, Naruto takes..."
76,4,5,"""The Next Step""Transcription: ""Tsuginaru Suteppu"" (Japanese: 次なる階段（ステップ）)",Kiyomu Fukuda,Yasuyuki Suzuki,2008-09-25,2011-04-16,7.7,359,"Naruto is learning the elements of Wind Style Jutsu, and Kakashi lectures him on the difficulties of developing a new jutsu. According to Kakashi even the Fourth Hokage was not able to embed elemental chakra into his jutsu. Naruto feels a heavy sense of responsibility and puts his entire being into developing the new jutsu. Meanwhile, the Akatsuki duo turns in Chiriku's body to collect the bounty. What is the fate of the Hidden Leaf team who are pursuing them...?"
77,4,6,"""Climbing Silver""Transcription: ""Bōgin"" (Japanese: 棒銀)",Yuki Kinoshita,Masahiro Hikokubo,2008-09-25,2011-04-23,8.4,394,"Asuma and his team finally confront Hidan, and a battle ensues. They fight with all their strength but are shocked at Hidan's power."
78,4,7,"""The Judgment""Transcription: ""Kudasareta sabaki"" (Japanese: 下された裁き)",Shigeharu Takahashi,Masahiro Hikokubo,2008-10-02,2011-04-30,8.2,539,"Hidan releases a baffling jutsu, and Asuma bears the brunt of the attack. The jutsu is a special trick which links Hidan with Asuma's body."
79,4,8,"""Unfulfilled Scream""Transcription: ""Todokanu zekkyō"" (Japanese: 届かぬ絶叫)",Atsushi Nigorikawa,Masahiro Hikokubo,2008-10-02,2011-05-07,8.2,520,"Hidan's immortality enables him to stay alive even with his head cut off, although he cannot move his body. Kakuzu sews Hidan's head back on with threads that sprout from his body. Izumo and Kotetsu try to attack Kakuzu, but he manages to grab them both by using his body threads, restraining them and suffocating them as well. Hidan, now able to move again, returns to the circle and stabs himself with the blades of his scythe; he finishes it off by stabbing himself in the chest with another spike, fatally wounding Asuma."
80,4,9,"""Last Words""Transcription: ""Saigo no kotoba"" (Japanese: 最期の言葉)",Hiroshi Kimura,Masahiro Hikokubo,2008-10-16,2011-05-14,8,646,"Asuma is mortally wounded by Hidan's jutsu, and the Akatsuki have the rest of the Hidden Leaf in a bind."
81,4,10,"""Sad News""Transcription: ""Kanashiki shirase"" (Japanese: 悲しき報せ)",Shinji Satou,Masahiro Hikokubo,2008-10-23,2011-05-21,8.1,383,"In a faraway land, the Akatsuki reveal their true aim of world conquest. And back at Hidden Leaf Village, Shikamaru gives his report of the mission to Tsunade."
82,4,11,"""Team Ten""Transcription: ""Daijuppan"" (Japanese: 第十班)",Toshiyuki Tsuru,Toshiyuki Tsuru,2008-10-30,2011-06-04,8.3,612,"Asuma's funeral is held in Hidden Leaf Village amid deep sadness. Shikamaru is the lone absentee, unable to get over the loss."
83,4,12,"""Target: Locked On""Transcription: ""Tāgetto Rokkuon"" (Japanese: 標的捕捉（ターゲット・ロックオン）)",Takahiro Ono,Yuka Miyata,2008-11-06,2011-06-18,8.3,387,Kakashi and Team 10 set out to stop the Akatsuki. Tsunade considers Naruto's Team 7 to be the ideal back-up for Team 10 and orders Naruto to perfect his new jutsu within 24 hours.
84,4,13,"""Kakuzu's Abilities""Transcription: ""Kakuzu no nōryoku"" (Japanese: 角都の能力)",Kiyomu Fukuda,Yuka Miyata,2008-11-13,2011-06-25,8.5,445,"Shikamaru and Choji deliver the first blows in the battle, but they are thwarted by Kakuzu's power. Kakashi counters Kakuzu's trick and brings him down."
85,4,14,"""The Terrifying Secret""Transcription: ""Osorubeki himitsu"" (Japanese: 恐るべき秘密)",Toshiyuki Tsuru,Toshiyuki Tsuru,2008-11-20,2011-07-02,8,532,Shikamaru and his comrades desperately counter the Fire Jutsu offensive. But continuously using his Rasengan and Lightning Blade takes its toll on Kakashi.
86,4,15,"""Shikamaru's Genius""Transcription: ""Shikamaru no Sai"" (Japanese: シカマルの才)",Masaaki Kumagai,Yuka Miyata,2008-12-04,2011-07-09,7.9,603,"Shikamaru battles Hidan alone, deep in the forest, and after depleting his chakra, sustains a deep wound. Hidan draws his blood as he lies near death."
87,4,16,"""When You Curse Someone, You Dig Your Own Grave""Transcription: ""Hito o norowaba ana futatsu"" (Japanese: 人を呪わば穴二つ)",Shigeharu Takahashi,Yasuyuki Suzuki,2008-12-04,2011-07-16,8.1,770,"Naruto and Team Kakashi arrive just in time to assist Team Asuma. Sakura and Sai are ordered by Kakashi to aid Shikamaru, who is battling alone."
88,4,17,"""Wind Style: Rasen Shuriken!""Transcription: ""Fūton: Rasenshuriken!"" (Japanese: 風遁·螺旋手裏剣!)",Atsushi Nigorikawa,Yasuyuki Suzuki,2008-12-11,2011-07-23,8,634,"Ino and Choji are amazed at Naruto's new jutsu, and Kakuzu senses the danger that it poses. But when released, the new jutsu dissipates before it reaches Kakuzu."
89,5,1,"""The Price of Power""Transcription: ""Chikara no daishō"" (Japanese: 力の代償)",Hiroshi Kimura,Yuka Miyata,2008-12-18,2011-07-30,7.7,354,Naruto's uses his new jutsu to bring Kakuzu down. Tsunade welcomes the teams back home and orders Team Asuma and Team Yamato to take a break.
90,5,2,"""A Shinobi's Determination""Transcription: ""Shinobi no ketsui"" (Japanese: 忍の決意)",Yuki Kinoshita,Junki Takegami,2008-12-25,2011-08-06,6.9,299,"Just when peace has finally settled over the village word comes that Orochimaru's hideout has been found. Tsunade orders Kakashi, Hinata, Shino, and Kiba on a search mission to find the hideout."
91,5,3,"""Orochimaru's Hideout Discovered""Transcription: ""Hakken — Orochimaru no ajito"" (Japanese: 発見 大蛇丸のアジト)",Yuusuke Onoda,Masahiro Hikokubo,2009-01-08,2011-08-20,7,270,"Naruto and Jiraiya arrive at the hot springs resort. As an alternative to the Wind Style: Rasen Shuriken, Jiraiya suggests to Naruto the collaboration ninjutsu with a ninja toad."
92,5,4,"""Encounter""Transcription: ""Deai"" (Japanese: 遭遇（であい）)",Kunitoshi Okajima,Yasuyuki Suzuki,2009-01-15,2011-08-27,6.7,265,"Inside Orochimaru's hideout Guren witnesses Sasuke defeating a thousand opponents. Meanwhile, Kabuto and Yukimaru conduct their experiment to summon the Three-Tailed Beast."
93,5,5,"""Connecting Hearts""Transcription: ""Kayoiau kokoro"" (Japanese: 通い合う心)",Masaaki Kumagai,"Shin Yoshida,Yasuyuki Suzuki",2009-01-22,2011-09-03,6.5,262,"Believing Naruto's new jutsu is almost completed, Jiraiya heads off to investigate new information on the Akatsuki's movements. His arm now healed, Naruto returns to the village to continue his training."
94,5,6,"""A Night of Rain""Transcription: ""Ame hitoyo"" (Japanese: 雨一夜（あめひとよ）)",Kiyomu Fukuda,Shin Yoshida,2009-01-29,2011-09-10,6.4,252,"Staying behind at the hideout, Rinji and Gozu become aware of a shinobi following their tracks. At the same time, Kakashi and his team notice that the enemy is using a bat for surveillance."
95,5,7,"""The Two Charms""Transcription: ""Futatsu no omamori"" (Japanese: ふたつのお守り)",Atsushi Nigorikawa,"Shin Yoshida,Yuka Miyata",2009-02-05,2011-09-17,6.4,253,"At the Leaf Village Naruto is busy training with Gamakichi and Gamatatsu. But when he learns that Kakashi and the others are out on a mission to locate Orochimaru's hideout, Naruto rushes to ask Tsunade if he can join the mission."
96,5,8,"""The Unseeing Enemy""Transcription: ""Miezaru teki"" (Japanese: 見えざる敵)",Shigeharu Takahashi,Yuka Miyata,2009-02-12,2011-10-01,6.6,246,Team Yamato heads out to provide backup for Team Kakashi. Right before his departure Naruto gets a hint to perfect his new jutsu by entering Gamatatsu's belly.
97,5,9,"""The Labyrinth of Distorted Reflection""Transcription: ""Ranhansha no meikyū"" (Japanese: 乱反射の迷宮)",Yuki Kinoshita,Junki Takegami,2009-02-19,2011-10-08,6.8,247,"From the results of the analysis of the crystallized Parasitic insects, the enemies currently fighting Kakashi's team are identified as users of the Crystal Style, a rare type of jutsu. Still unclear on what Orochimaru's objective is, Tsunade cannot hide her irritation and anxiety."
98,5,10,"""The Target Appears""Transcription: ""Arawareta hyōteki"" (Japanese: 現れた標的)",Hiroshi Kimura,Shin Yoshida,2009-02-26,2011-11-05,6.8,246,"Shattering the force field with his newly mastered collaboration jutsu with the toads, Naruto and the reinforcement unit arrive at the battle site. But Naruto's new jutsu is repulsed by Guren's ability to crystallize fluids."
99,5,11,"""The Rampaging Tailed Beast""Transcription: ""Arekurū Bijū"" (Japanese: 荒れ狂う尾獣)",Yuusuke Onoda,Shin Yoshida,2009-03-05,2012-12-29,6.8,252,"The Leaf ninja use The Bat to pursue Guren. Akamaru and Kiba detect a high level of chakra present at their destination. Convinced something abnormal is about to happen, Kakashi sends Naruto to the lake right before entering battle with the enemy."
100,5,12,"""Inside the Mist""Transcription: ""Kiri no naka de"" (Japanese: 霧の中で)",Kunitoshi Okajima,"Junki Takegami,Shin Yoshida",2009-03-12,2012-12-29,6.5,248,"Inside the heavy mist, the Leaf ninja manage to rendezvous with Naruto. The team tightens their guard when they learn that the mist surrounding the lake causes illusions. The team discovers that the enemy is after the Three-Tailed Beast, and faced with this unexpected development, Kakashi decides to ask for Tsunade's guidance."
101,5,13,"""Everyone's Feelings""Transcription: ""Sorezore no omoi"" (Japanese: それぞれの想い)",Masaaki Kumagai,Yuka Miyata,2009-03-26,2012-12-31,6.4,246,"Naruto enters the mist to seek out Yukimaru. Guren stays alert to protect Yukimaru, whose current situation prevents him from moving. When both sides meet, their emotion over Yukimaru sparks."
102,5,14,"""Regroup!""Transcription: ""Saihensei!"" (Japanese: 再編成!)",Kiyomu Fukuda,"Junki Takegami,Yuka Miyata",2009-03-26,2012-12-31,6.4,247,Reinforcements arrive from the Leaf Village. The new mission from Tsunade: seal the Three-Tailed Beast so it won't fall into anyone else's hands and take Yukimaru whose powers are tied to the Tailed Beast into custody.
103,5,15,"""The Four-Corner Sealing Barrier""Transcription: ""Kekkai Shihō Fūjin"" (Japanese: 結界四方封陣)",Atsushi Nigorikawa,Masahiro Hikokubo,2009-04-09,2012-12-31,6.7,247,"The Leaf ninja wish to seal the Three-Tailed Beast, and Guren's team wishes to stop them at any cost. Shizune's sealing team begins their search as they activate the The Four-Corner Sealing Barrier to trap the Three-Tailed Beast..."
104,5,16,"""Breaking the Crystal Style""Transcription: ""Shōton kuzushi"" (Japanese: 晶遁崩し)",Shigeharu Takahashi,"Shin Yoshida,Junki Takegami",2009-04-09,2012-12-31,6.8,244,"To protect the The Four-Corner Sealing Barrier necessary to seal the Three-Tailed Beast, Kakashi and Naruto wage their deadly battle against Guren. Sai fights a one-on-one battle with Gozu..."
105,5,17,"""The Battle Over the Barrier""Transcription: ""Kekkai kōbōsen"" (Japanese: 結界攻防戦)",Yuki Kinoshita,Yuka Miyata,2009-04-16,2013-01-05,6.4,248,Kabuto plans on breaking the Leaf's The Four-Corner Sealing Barrier from the inside by using Yukimaru's power and have the Three-Tailed Beast go on a rampage.
106,5,18,"""Red Camellia""Transcription: ""Akai tsubaki"" (Japanese: 赤い椿)",Hiroshi Kimura,Masahiro Hikokubo,2009-04-23,2013-01-05,6.6,246,"To protect Guren from the raging Three Tails, Yuukimaru exerts powers beyond his limits. Moved by his action, Guren now comes to regret her past sin of killing Yuukimaru's mother."
107,5,19,"""Strange Bedfellows""Transcription: ""Goetsudōshū"" (Japanese: 呉越同舟)",Toshiaki Kanbara,Yasuyuki Suzuki,2009-04-30,2013-01-05,6.5,243,"To protect Yuukimaru, Naruto and Guren fight alongside each other against the Three-Tailed beast and are swallowed. Inside the beast is an unnatural world filled with limestone."
108,5,20,"""Guidepost of the Camellia""Transcription: ""Tsubaki no michishirube"" (Japanese: 椿の道標)",Kunitoshi Okajima,Shin Yoshida,2009-05-07,2013-01-05,6.4,244,"The Leaf ninja learn that Naruto is inside the Three-Tailed beast. With no other alternative but to trust Yuukimaru's mystical senses, Kakashi and the others follow the boy's guidance and attempt a rescue mission."
109,5,21,"""Counterattack of the Curse Mark""Transcription: ""Juin no gyakushū"" (Japanese: 呪印の逆襲)",Shigeharu Takahashi,Junki Takegami,2009-05-14,2013-01-07,6.3,242,"Despite the Leaf ninja rescue attempt, Naruto and Guren do not return. Frustration builds among the group, but as Three Tails wakes from its sleep, the Sealing Team makes a second attempt at the Four Corner Sealing Barrier."
110,5,22,"""Memory of Guilt""Transcription: ""Tsumi no kioku"" (Japanese: 罪の記憶)",Kiyomu Fukuda,Junki Takegami,2009-05-21,2013-01-07,6.6,245,"Kabuto plots to have Three Tails crush the Leaf ninja by sacrificing Yuukimaru's power and life. Controlled by Yuukimaru, Three Tails' awesome power is about to break free from the seal, when an unexpected ally saves Shizune's sealing team."
